,gxmax,gxmin,gxvar,gymax,gymin,gzvar,gzmax,gzmin,gzvar,label
38,111.5799219,-483.8453647,1681.186675,160.0516003,-274.4248309,2516.426266,358.4601629,-73.29548537,2516.426266,0
39,250.8179268,-306.2303341,1063.59523,221.5330247,-323.5591362,1972.888417,244.8064106,-106.7599307,1972.888417,1
40,198.8174097,-235.509696,916.4078705,160.9523987,-377.0334785,1754.967035,242.4422261,-78.59458006,1754.967035,0
41,288.8877771,-384.5625436,1354.770833,164.6052359,-387.0555641,2931.384492,393.0185307,-79.00403198,2931.384492,0
42,249.2225295,-341.5480491,1368.673443,195.89179,-398.7668276,3252.901021,444.9944394,-94.36088657,3252.901021,1
43,148.4939513,-286.5046445,1130.299562,215.3342547,-335.4128513,3339.023823,430.8358114,-99.10889516,3339.023823,1
44,256.3928182,-332.3096604,1106.853656,249.2675727,-362.3616001,2049.622466,244.316974,-119.1250298,2049.622466,0
45,257.0559114,-268.344011,1118.154571,193.4584575,-377.918915,1803.232655,228.5328258,-93.31661776,1803.232655,0
46,310.6745506,-330.724692,1974.728496,224.3772673,-337.3974677,3457.165815,392.0316136,-102.2999069,3457.165815,1
47,211.8138256,-257.8799198,1525.917599,180.0398391,-370.5865154,3993.32443,496.1276462,-113.8642977,3993.32443,1
48,212.3998817,-229.3986602,998.4546826,188.2505408,-318.1213566,1830.035978,202.8373467,-114.1547029,1830.035978,0
49,245.0738134,-263.6335995,980.410975,196.6008831,-325.2173736,1860.765509,235.5636616,-95.80437655,1860.765509,0
50,293.9725856,-288.7444804,1201.656927,217.4840445,-382.6653243,1985.674638,255.7844597,-118.3531106,1985.674638,1
51,176.4098026,-265.0640732,1144.440251,205.5360497,-358.7214079,3173.262301,392.1640246,-106.1571814,3173.262301,0
52,207.15638,-222.2555177,776.8968605,198.3920822,-340.0380291,1610.204241,196.9691748,-121.2603654,1610.204241,1
53,286.5626296,-370.4498484,1584.760397,240.6842291,-364.7696518,3068.919053,440.6847459,-104.0303872,3068.919053,1
54,164.7028728,-230.4303147,816.9903855,228.5062332,-345.1099849,1703.996472,223.0963294,-90.24060839,1703.996472,0
55,188.8273779,-326.0956349,797.7244791,254.9705834,-328.3681817,2105.121144,255.1845513,-102.2942849,2105.121144,1
56,228.8309111,-388.3932546,1166.849011,245.8510455,-365.4339056,1281.83229,168.2398257,-102.2667771,1281.83229,1
57,194.6795537,-249.2687671,869.2376033,194.4958208,-344.9691338,1605.562264,198.8699031,-87.43352598,1605.562264,0
58,253.8829074,-248.2826491,1291.446434,256.766958,-370.1315829,2396.923179,290.1944725,-104.0718489,2396.923179,1
59,262.2857964,-282.1442898,1382.934787,291.6065494,-436.3373852,2562.714573,262.2846349,-143.4161945,2562.714573,0
60,367.950831,-797.5933372,5703.476908,319.4136135,-565.783116,3267.909663,371.5249901,-184.5408677,3267.909663,0
61,252.9491731,-170.6719201,1063.077699,227.0926722,-364.7154908,2026.470364,246.6918209,-94.46822207,2026.470364,1
62,414.2281097,-482.3793875,2943.0779,325.985768,-589.6004502,2114.530085,238.4645004,-126.2715126,2114.530085,0
63,106.286218,-493.0575648,1649.519219,152.7514869,-283.6597108,2438.051276,356.9829728,-71.79046763,2438.051276,0
64,241.0598878,-300.7342208,1024.849238,229.558724,-334.0544583,2010.662909,246.7245962,-106.2997488,2010.662909,1
65,201.8918958,-239.9217802,915.3671967,163.520457,-376.8475785,1752.261198,235.8723681,-79.44799155,1752.261198,0
66,279.782114,-364.8589558,1444.908353,162.4883299,-394.3668158,2943.248809,392.2375091,-82.03801996,2943.248809,0
67,243.0146178,-342.2736658,1354.532787,196.1520446,-385.4193758,3352.657973,448.6501112,-97.30518938,3352.657973,1
68,145.0191882,-289.878311,1134.633446,211.3095765,-346.5136089,3380.876792,443.0993029,-101.4133969,3380.876792,1
69,258.464143,-329.9605575,1114.389728,244.9477652,-362.9945335,2001.628166,235.7808453,-115.6645421,2001.628166,0
